Candidate_ID,Job_Role,Experience_Level,Experience_Years,Education,Skills,Technical_Skills,Soft_Skills,Certifications,Projects,Previous_Job_Title,Industry,Resume_Summary,Resume_Text,Target_Job_Title,Job_Description,Required_Skills,Preferred_Skills,Matched_Skills,Missing_Skills,Skill_Match_Percentage,ATS_Score,Recommendation,Recommendation_Reason
C0001,Backend Developer,Fresher,0,B.Tech Information Technology,"REST APIs, Express, Docker, Java, PostgreSQL, Git","REST APIs, Express, Docker, Java","Time Management, Teamwork, Analytical Thinking",None,"Prediction project for Backend Developer using REST APIs, Express, Docker",Fresher,Manufacturing,"Fresher Backend Developer candidate with 0 years of experience. Skilled in REST APIs, Express, Docker, Java with practical exposure through Prediction project for Backend Developer using REST APIs, Express, Docker.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in REST APIs, Express, Docker, Java with practical exposure through Prediction project for Backend Developer using REST APIs, Express, Docker.
Technical Skills: REST APIs, Express, Docker, Java, PostgreSQL, Git
Experience: 0 years in Manufacturing. Previous role: Fresher.
Education: B.Tech Information Technology
Projects: Prediction project for Backend Developer using REST APIs, Express, Docker
Certifications: None
Soft Skills: Time Management, Teamwork, Analytical Thinking",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include MongoDB, Python, Docker, Redis, Java, PostgreSQL. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Node.js, Git.","MongoDB, Python, Docker, Redis, Java, PostgreSQL","Git, Express, REST APIs","Docker, Java, PostgreSQL","MongoDB, Python, Redis",50,29.49,Not Recommended,"Matched 3 of 6 required skills; missing MongoDB, Python, Redis. 0 years of experience and no listed certification were considered."
C0002,Backend Developer,Fresher,0,M.Sc Computer Science,"Java, Git, MongoDB, Python, Node.js, PostgreSQL, REST APIs","Java, Git, MongoDB, Python, Node.js","Analytical Thinking, Collaboration, Communication",Kubernetes certification,"Analytics project for Backend Developer using Java, Git, MongoDB",Fresher,SaaS,"Fresher Backend Developer candidate with 0 years of experience. Skilled in Java, Git, MongoDB, Python with practical exposure through Analytics project for Backend Developer using Java, Git, MongoDB.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in Java, Git, MongoDB, Python with practical exposure through Analytics project for Backend Developer using Java, Git, MongoDB.
Technical Skills: Java, Git, MongoDB, Python, Node.js, PostgreSQL, REST APIs
Experience: 0 years in SaaS. Previous role: Fresher.
Education: M.Sc Computer Science
Projects: Analytics project for Backend Developer using Java, Git, MongoDB
Certifications: Kubernetes certification
Soft Skills: Analytical Thinking, Collaboration, Communication",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Redis, Docker, Java, Express, Python, REST APIs. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include PostgreSQL, Git.","Redis, Docker, Java, Express, Python, REST APIs","Node.js, Git, MongoDB","Java, Python, REST APIs","Redis, Docker, Express",50,38.08,Not Recommended,"Matched 3 of 6 required skills; missing Redis, Docker, Express. 0 years of experience and kubernetes certification were considered."
C0003,Backend Developer,Fresher,0,B.Tech Information Technology,"Node.js, PostgreSQL, Docker, Java, Redis, Git, Python","Node.js, PostgreSQL, Docker, Java, Redis","Collaboration, Time Management, Communication",Kubernetes certification,"Management project for Backend Developer using Node.js, PostgreSQL, Docker",Fresher,Manufacturing,"Fresher Backend Developer candidate with 0 years of experience. Skilled in Node.js, PostgreSQL, Docker, Java with practical exposure through Management project for Backend Developer using Node.js, PostgreSQL, Docker.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in Node.js, PostgreSQL, Docker, Java with practical exposure through Management project for Backend Developer using Node.js, PostgreSQL, Docker.
Technical Skills: Node.js, PostgreSQL, Docker, Java, Redis, Git, Python
Experience: 0 years in Manufacturing. Previous role: Fresher.
Education: B.Tech Information Technology
Projects: Management project for Backend Developer using Node.js, PostgreSQL, Docker
Certifications: Kubernetes certification
Soft Skills: Collaboration, Time Management, Communication",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Node.js, Docker, Express, Java, Redis, PostgreSQL. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Python, REST APIs.","Node.js, Docker, Express, Java, Redis, PostgreSQL","Git, REST APIs, Python","Node.js, Docker, Java, Redis, PostgreSQL",Express,83.33,58.71,Consider,Matched 5 of 6 required skills; missing Express. 0 years of experience and kubernetes certification were considered.
C0004,Backend Developer,Fresher,0,B.Tech Computer Science,"Express, Redis, MongoDB, PostgreSQL, Git, Java, Node.js, Pytest","Express, Redis, MongoDB, PostgreSQL, Git, Java","Problem Solving, Time Management, Collaboration",None,"E-commerce project for Backend Developer using Express, Redis, MongoDB",Fresher,FinTech,"Fresher Backend Developer candidate with 0 years of experience. Skilled in Express, Redis, MongoDB, PostgreSQL with practical exposure through E-commerce project for Backend Developer using Express, Redis, MongoDB.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in Express, Redis, MongoDB, PostgreSQL with practical exposure through E-commerce project for Backend Developer using Express, Redis, MongoDB.
Technical Skills: Express, Redis, MongoDB, PostgreSQL, Git, Java, Node.js, Pytest
Experience: 0 years in FinTech. Previous role: Fresher.
Education: B.Tech Computer Science
Projects: E-commerce project for Backend Developer using Express, Redis, MongoDB
Certifications: None
Soft Skills: Problem Solving, Time Management, Collaboration",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include MongoDB, Git, PostgreSQL, Java, Docker, REST APIs. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Python, Node.js.","MongoDB, Git, PostgreSQL, Java, Docker, REST APIs","Redis, Express, Node.js","MongoDB, Git, PostgreSQL, Java","Docker, REST APIs",66.67,47.13,Not Recommended,"Matched 4 of 6 required skills; missing Docker, REST APIs. 0 years of experience and no listed certification were considered."
C0005,Backend Developer,Fresher,0,B.E Information Technology,"Java, Docker, REST APIs, MongoDB, PostgreSQL","Java, Docker, REST APIs","Teamwork, Time Management, Collaboration",None,"Prediction project for Backend Developer using Java, Docker, REST APIs",Fresher,E-commerce,"Fresher Backend Developer candidate with 0 years of experience. Skilled in Java, Docker, REST APIs, MongoDB with practical exposure through Prediction project for Backend Developer using Java, Docker, REST APIs.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in Java, Docker, REST APIs, MongoDB with practical exposure through Prediction project for Backend Developer using Java, Docker, REST APIs.
Technical Skills: Java, Docker, REST APIs, MongoDB, PostgreSQL
Experience: 0 years in E-commerce. Previous role: Fresher.
Education: B.E Information Technology
Projects: Prediction project for Backend Developer using Java, Docker, REST APIs
Certifications: None
Soft Skills: Teamwork, Time Management, Collaboration",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Node.js, Redis, Python, PostgreSQL, MongoDB, Git. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Express, Java.","Node.js, Redis, Python, PostgreSQL, MongoDB, Git","REST APIs, Java, Docker","PostgreSQL, MongoDB","Node.js, Redis, Python, Git",33.33,24.91,Not Recommended,"Matched 2 of 6 required skills; missing Node.js, Redis, Python. 0 years of experience and no listed certification were considered."
C0006,Backend Developer,Fresher,0,B.E Computer Science,"PostgreSQL, REST APIs, Express, Python, Java","PostgreSQL, REST APIs, Express","Problem Solving, Leadership, Adaptability",None,"E-commerce project for Backend Developer using PostgreSQL, REST APIs, Express",Fresher,E-commerce,"Fresher Backend Developer candidate with 0 years of experience. Skilled in PostgreSQL, REST APIs, Express, Python with practical exposure through E-commerce project for Backend Developer using PostgreSQL, REST APIs, Express.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in PostgreSQL, REST APIs, Express, Python with practical exposure through E-commerce project for Backend Developer using PostgreSQL, REST APIs, Express.
Technical Skills: PostgreSQL, REST APIs, Express, Python, Java
Experience: 0 years in E-commerce. Previous role: Fresher.
Education: B.E Computer Science
Projects: E-commerce project for Backend Developer using PostgreSQL, REST APIs, Express
Certifications: None
Soft Skills: Problem Solving, Leadership, Adaptability",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Java, Git, Redis, MongoDB, Python, REST APIs. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Express, PostgreSQL.","Java, Git, Redis, MongoDB, Python, REST APIs","Express, PostgreSQL, Docker","Java, Python, REST APIs","Git, Redis, MongoDB",50,33.38,Not Recommended,"Matched 3 of 6 required skills; missing Git, Redis, MongoDB. 0 years of experience and no listed certification were considered."
C0007,Backend Developer,Fresher,0,BCA,"Redis, Docker, Git, Python, Java, PostgreSQL, MongoDB","Redis, Docker, Git, Python, Java","Analytical Thinking, Problem Solving, Collaboration",None,"Security project for Backend Developer using Redis, Docker, Git",Fresher,Banking,"Fresher Backend Developer candidate with 0 years of experience. Skilled in Redis, Docker, Git, Python with practical exposure through Security project for Backend Developer using Redis, Docker, Git.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in Redis, Docker, Git, Python with practical exposure through Security project for Backend Developer using Redis, Docker, Git.
Technical Skills: Redis, Docker, Git, Python, Java, PostgreSQL, MongoDB
Experience: 0 years in Banking. Previous role: Fresher.
Education: BCA
Projects: Security project for Backend Developer using Redis, Docker, Git
Certifications: None
Soft Skills: Analytical Thinking, Problem Solving, Collaboration",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Express, Python, Java, PostgreSQL, MongoDB, Docker. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include REST APIs, Redis.","Express, Python, Java, PostgreSQL, MongoDB, Docker","REST APIs, Redis, Git","Python, Java, PostgreSQL, MongoDB, Docker",Express,83.33,54.22,Consider,Matched 5 of 6 required skills; missing Express. 0 years of experience and no listed certification were considered.
C0008,Backend Developer,Fresher,0,B.Tech Information Technology,"Express, Java, Docker, PostgreSQL, Git, Node.js, MongoDB, Redis","Express, Java, Docker, PostgreSQL, Git, Node.js","Analytical Thinking, Teamwork, Adaptability",None,"Security project for Backend Developer using Express, Java, Docker",Fresher,FinTech,"Fresher Backend Developer candidate with 0 years of experience. Skilled in Express, Java, Docker, PostgreSQL with practical exposure through Security project for Backend Developer using Express, Java, Docker.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in Express, Java, Docker, PostgreSQL with practical exposure through Security project for Backend Developer using Express, Java, Docker.
Technical Skills: Express, Java, Docker, PostgreSQL, Git, Node.js, MongoDB, Redis
Experience: 0 years in FinTech. Previous role: Fresher.
Education: B.Tech Information Technology
Projects: Security project for Backend Developer using Express, Java, Docker
Certifications: None
Soft Skills: Analytical Thinking, Teamwork, Adaptability",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Python, Java, Git, Express, PostgreSQL, Node.js. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include MongoDB, Docker.","Python, Java, Git, Express, PostgreSQL, Node.js","MongoDB, Docker, Redis","Java, Git, Express, PostgreSQL, Node.js",Python,83.33,54.33,Consider,Matched 5 of 6 required skills; missing Python. 0 years of experience and no listed certification were considered.
C0009,Backend Developer,Fresher,0,B.E Computer Science,"Docker, Java, Python, PostgreSQL, REST APIs, Redis, MongoDB, Express, Git","Docker, Java, Python, PostgreSQL, REST APIs, Redis, MongoDB","Adaptability, Analytical Thinking, Collaboration",None,"Security project for Backend Developer using Docker, Java, Python",Fresher,Education,"Fresher Backend Developer candidate with 0 years of experience. Skilled in Docker, Java, Python, PostgreSQL with practical exposure through Security project for Backend Developer using Docker, Java, Python.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in Docker, Java, Python, PostgreSQL with practical exposure through Security project for Backend Developer using Docker, Java, Python.
Technical Skills: Docker, Java, Python, PostgreSQL, REST APIs, Redis, MongoDB, Express, Git
Experience: 0 years in Education. Previous role: Fresher.
Education: B.E Computer Science
Projects: Security project for Backend Developer using Docker, Java, Python
Certifications: None
Soft Skills: Adaptability, Analytical Thinking, Collaboration",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Express, MongoDB, Python, Java, Git, Redis. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include REST APIs, Node.js.","Express, MongoDB, Python, Java, Git, Redis","PostgreSQL, Node.js, Docker","Express, MongoDB, Python, Java, Git, Redis",None,100,71.27,Recommended,Matched 6 of 6 required skills; no core required skills missing. 0 years of experience and no listed certification were considered.
C0010,Backend Developer,Fresher,0,B.Sc Computer Science,"Python, Git, Redis, REST APIs, MongoDB, Java, Docker","Python, Git, Redis, REST APIs, MongoDB","Teamwork, Analytical Thinking, Collaboration",Oracle Database certification,"Optimization project for Backend Developer using Python, Git, Redis",Fresher,Healthcare,"Fresher Backend Developer candidate with 0 years of experience. Skilled in Python, Git, Redis, REST APIs with practical exposure through Optimization project for Backend Developer using Python, Git, Redis.","Professional Summary: Fresher Backend Developer candidate with 0 years of experience. Skilled in Python, Git, Redis, REST APIs with practical exposure through Optimization project for Backend Developer using Python, Git, Redis.
Technical Skills: Python, Git, Redis, REST APIs, MongoDB, Java, Docker
Experience: 0 years in Healthcare. Previous role: Fresher.
Education: B.Sc Computer Science
Projects: Optimization project for Backend Developer using Python, Git, Redis
Certifications: Oracle Database certification
Soft Skills: Teamwork, Analytical Thinking, Collaboration",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Java, Node.js, Git, REST APIs, Python, Redis. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include MongoDB, Express.","Java, Node.js, Git, REST APIs, Python, Redis","MongoDB, Express, PostgreSQL","Java, Git, REST APIs, Python, Redis",Node.js,83.33,61.66,Consider,Matched 5 of 6 required skills; missing Node.js. 0 years of experience and oracle database certification were considered.
